timestamp,value
1/4/16 7:49,1
1/4/16 8:49,2
1/4/16 9:49,0
1/4/16 10:49,0
1/4/16 11:49,0
1/4/16 12:49,0
1/4/16 13:49,0
1/4/16 14:49,1
1/4/16 15:49,1
1/4/16 16:49,0
1/4/16 17:49,0
1/4/16 18:49,0
1/4/16 19:49,0
1/4/16 20:49,0
1/4/16 21:49,0
1/4/16 22:49,0
1/4/16 23:49,0
1/5/16 0:49,0
1/5/16 1:49,0
1/5/16 2:49,0
1/5/16 3:49,0
1/5/16 4:49,0
1/5/16 5:49,0
1/5/16 6:49,0
1/5/16 7:49,1
1/5/16 8:49,0
1/5/16 9:49,0
1/5/16 10:49,0
1/5/16 11:49,0
1/5/16 12:49,1
1/5/16 13:49,0
1/5/16 14:49,0
1/5/16 15:49,0
1/5/16 16:49,0
1/5/16 17:49,0
1/5/16 18:49,0
1/5/16 19:49,0
1/5/16 20:49,0
1/5/16 21:49,0
1/5/16 22:49,0
1/5/16 23:49,0
1/6/16 0:49,0
1/6/16 1:49,0
1/6/16 2:49,0
1/6/16 3:49,0
1/6/16 4:49,0
1/6/16 5:49,0
1/6/16 6:49,0
1/6/16 7:49,0
1/6/16 8:49,0
1/6/16 9:49,0
1/6/16 10:49,0
1/6/16 11:49,0
1/6/16 12:49,0
1/6/16 13:49,0
1/6/16 14:49,1
1/6/16 15:49,1
1/6/16 16:49,1
1/6/16 17:49,0
1/6/16 18:49,0
1/6/16 19:49,0
1/6/16 20:49,0
1/6/16 21:49,0
1/6/16 22:49,0
1/6/16 23:49,0
1/7/16 0:49,0
1/7/16 1:49,0
1/7/16 2:49,0
1/7/16 3:49,0
1/7/16 4:49,0
1/7/16 5:49,0
1/7/16 6:49,0
1/7/16 7:49,0
1/7/16 8:49,0
1/7/16 9:49,0
1/7/16 10:49,0
1/7/16 11:49,0
1/7/16 12:49,0
1/7/16 13:49,1
1/7/16 14:49,0
1/7/16 15:49,0
1/7/16 16:49,0
1/7/16 17:49,0
1/7/16 18:49,0
1/7/16 19:49,0
1/7/16 20:49,0
1/7/16 21:49,0
1/7/16 22:49,0
1/7/16 23:49,0
1/8/16 0:49,0
1/8/16 1:49,0
1/8/16 2:49,0
1/8/16 3:49,0
1/8/16 4:49,0
1/8/16 5:49,0
1/8/16 6:49,1
1/8/16 7:49,0
1/8/16 8:49,0
1/8/16 9:49,0
1/8/16 10:49,0
1/8/16 11:49,0
1/8/16 12:49,2
1/8/16 13:49,1
1/8/16 14:49,0
1/8/16 15:49,0
1/8/16 16:49,0
1/8/16 17:49,0
1/8/16 18:49,0
1/8/16 19:49,0
1/8/16 20:49,0
1/8/16 21:49,0
1/8/16 22:49,0
1/8/16 23:49,0
1/9/16 0:49,0
1/9/16 1:49,0
1/9/16 2:49,0
1/9/16 3:49,0
1/9/16 4:49,0
1/9/16 5:49,0
1/9/16 6:49,0
1/9/16 7:49,0
1/9/16 8:49,0
1/9/16 9:49,0
1/9/16 10:49,0
1/9/16 11:49,0
1/9/16 12:49,0
1/9/16 13:49,0
1/9/16 14:49,0
1/9/16 15:49,0
1/9/16 16:49,0
1/9/16 17:49,0
1/9/16 18:49,0
1/9/16 19:49,0
1/9/16 20:49,0
1/9/16 21:49,0
1/9/16 22:49,0
1/9/16 23:49,0
1/10/16 0:49,0
1/10/16 1:49,0
1/10/16 2:49,0
1/10/16 3:49,0
1/10/16 4:49,0
1/10/16 5:49,0
1/10/16 6:49,0
1/10/16 7:49,0
1/10/16 8:49,0
1/10/16 9:49,0
1/10/16 10:49,0
1/10/16 11:49,0
1/10/16 12:49,0
1/10/16 13:49,0
1/10/16 14:49,0
1/10/16 15:49,0
1/10/16 16:49,0
1/10/16 17:49,0
1/10/16 18:49,0
1/10/16 19:49,1
1/10/16 20:49,0
1/10/16 21:49,0
1/10/16 22:49,0
1/10/16 23:49,0
1/11/16 0:49,0
1/11/16 1:49,0
1/11/16 2:49,0
1/11/16 3:49,0
1/11/16 4:49,0
1/11/16 5:49,0
1/11/16 6:49,1
1/11/16 7:49,0
1/11/16 8:49,4
1/11/16 9:49,3
1/11/16 10:49,0
1/11/16 11:49,4
1/11/16 12:49,1
1/11/16 13:49,1
1/11/16 14:49,1
1/11/16 15:49,0
1/11/16 16:49,3
1/11/16 17:49,0
1/11/16 18:49,0
1/11/16 19:49,1
1/11/16 20:49,0
1/11/16 21:49,0
1/11/16 22:49,0
1/11/16 23:49,0
1/12/16 0:49,0
1/12/16 1:49,0
1/12/16 2:49,0
1/12/16 3:49,0
1/12/16 4:49,0
1/12/16 5:49,0
1/12/16 6:49,0
1/12/16 7:49,1
1/12/16 8:49,2
1/12/16 9:49,1
1/12/16 10:49,5
1/12/16 11:49,1
1/12/16 12:49,6
1/12/16 13:49,2
1/12/16 14:49,0
1/12/16 15:49,0
1/12/16 16:49,2
1/12/16 17:49,0
1/12/16 18:49,0
1/12/16 19:49,0
1/12/16 20:49,0
1/12/16 21:49,0
1/12/16 22:49,0
1/12/16 23:49,0
1/13/16 0:49,0
1/13/16 1:49,0
1/13/16 2:49,0
1/13/16 3:49,0
1/13/16 4:49,0
1/13/16 5:49,0
1/13/16 6:49,3
1/13/16 7:49,1
1/13/16 8:49,1
1/13/16 9:49,3
1/13/16 10:49,1
1/13/16 11:49,0
1/13/16 12:49,3
1/13/16 13:49,4
1/13/16 14:49,0
1/13/16 15:49,1
1/13/16 16:49,3
1/13/16 17:49,0
1/13/16 18:49,1
1/13/16 19:49,0
1/13/16 20:49,0
1/13/16 21:49,0
1/13/16 22:49,0
1/13/16 23:49,0
1/14/16 0:49,0
1/14/16 1:49,0
1/14/16 2:49,0
1/14/16 3:49,0
1/14/16 4:49,0
1/14/16 5:49,0
1/14/16 6:49,0
1/14/16 7:49,2
1/14/16 8:49,0
1/14/16 9:49,3
1/14/16 10:49,2
1/14/16 11:49,0
1/14/16 12:49,2
1/14/16 13:49,0
1/14/16 14:49,0
1/14/16 15:49,0
1/14/16 16:49,0
1/14/16 17:49,0
1/14/16 18:49,0
1/14/16 19:49,0
1/14/16 20:49,0
1/14/16 21:49,0
1/14/16 22:49,0
1/14/16 23:49,0
1/15/16 0:49,0
1/15/16 1:49,0
1/15/16 2:49,0
1/15/16 3:49,0
1/15/16 4:49,0
1/15/16 5:49,0
1/15/16 6:49,1
1/15/16 7:49,2
1/15/16 8:49,2
1/15/16 9:49,3
1/15/16 10:49,0
1/15/16 11:49,0
1/15/16 12:49,4
1/15/16 13:49,1
1/15/16 14:49,2
1/15/16 15:49,3
1/15/16 16:49,4
1/15/16 17:49,0
1/15/16 18:49,1
1/15/16 19:49,1
1/15/16 20:49,0
1/15/16 21:49,0
1/15/16 22:49,0
1/15/16 23:49,0
1/16/16 0:49,0
1/16/16 1:49,0
1/16/16 2:49,0
1/16/16 3:49,0
1/16/16 4:49,0
1/16/16 5:49,0
1/16/16 6:49,0
1/16/16 7:49,0
1/16/16 8:49,0
1/16/16 9:49,0
1/16/16 10:49,0
1/16/16 11:49,0
1/16/16 12:49,0
1/16/16 13:49,0
1/16/16 14:49,0
1/16/16 15:49,0
1/16/16 16:49,0
1/16/16 17:49,0
1/16/16 18:49,0
1/16/16 19:49,0
1/16/16 20:49,0
1/16/16 21:49,0
1/16/16 22:49,0
1/16/16 23:49,0
1/17/16 0:49,0
1/17/16 1:49,0
1/17/16 2:49,0
1/17/16 3:49,0
1/17/16 4:49,0
1/17/16 5:49,0
1/17/16 6:49,0
1/17/16 7:49,0
1/17/16 8:49,0
1/17/16 9:49,0
1/17/16 10:49,0
1/17/16 11:49,0
1/17/16 12:49,0
1/17/16 13:49,0
1/17/16 14:49,0
1/17/16 15:49,0
1/17/16 16:49,0
1/17/16 17:49,0
1/17/16 18:49,0
1/17/16 19:49,0
1/17/16 20:49,0
1/17/16 21:49,0
1/17/16 22:49,0
